text,intent
where is my stuff? its been 5 days tracking says 'pending' wtf is going on I need it now,order_status
i wanna know how to send back the blue shirt. is it free return or do i pay shipping??? thx,return_policy
what's the dealio with refunds if the item is broke when i get it? full refund no questions?,refund_policy
"hi good morning do you guys have any tips on what color headphones are selling the most right now, black or white?",trend_analysis
need more of those lil green doodads for the car. cant find them on the site. can u source?,product_sourcing
how do i reset my password or is there some kinda like common question section for that?,faq
"lookin for a comfy chare for my office, must be blue, budget like $150 max. show me options",product_search
My dog ate my homework and now I need a new laptop and a lifetime supply of tacos. Also is your company based on mars?,off_topic
whr is the black hoodie size M?,product_search
Why price go up 5 dollr just for me?? Dis is scam I need old price!,pricing
Wheres my stuff? Order #12345 hasnt moved in 3 dayz,order_status
"Good afternoon, could you please clarify the steps and timeline for initiating a full refund on a defective item? Thank you.",refund_policy
i wanna send back the shoes but i lost the box can i still do it,return_policy
Got any more blue widgets in stock?,product_availability
"If a wizard wears a raincoat while ordering socks, will the delivery drone sing opera? pls advise",off_topic
Hello! I hope you are having a good day.,greeting
is free shippin offered on evrything?,faq
The terms and condition is too long what is ur privacy thing about my data its secret,policy_info
why the hell is this tv 50 bucks more than yesterday U guys scammin me???,pricing
Got any more blue small ones?,product_availability
"Hello, my order number #12345, please check where is it? Thanks.",order_status
Can i get my $$ back if i dont like it tho?,refund_policy
"I need to know the official rules for your 'loyalty points' system, especially how they expire and if they can be used with a coupon.",policy_info
What is your favorite color? And is that related to the expedited shipping option?,faq
Hey there!,greeting
Looking for red dress size 8 midi with sleeves,product_search
Do you guys plan on carrying the new line of sustainable bamboo towels by TerraWeave anytime soon? I'd really love to buy them from you.,product_sourcing
My dog ate my homework but I still want to buy the headphones.,off_topic
where is my order i placed like 5 days ago?? its tracking says pending but i need it now!,order_status
"yo how much for the blue sneakers, size 10? can u give me a deal lol",pricing
"do u guys like, sell wholesale or can i get a big discount if i buy like a hunderd of those shirts",product_sourcing
im tryna send back this ugly sweater it makes me look like a donkey how long do i have to return this piece of garbage,return_policy
"what is the general policy about your privacy stuff and like data sharing with third parties, i need to know before i check out",policy_info
"Hi, I hope you are having a wonderful day. Could you please check if the 'Aesthetic Sunset' print is available in the large canvas size? Thank you so much!",product_availability
is this company a scam or what my money is gone but the product is not here you better give me my funds back or i call the police!!!,refund_policy
what kind of trends are popin off in the home decor section right now? wanna know what to buy next for my apartment vibes,trend_analysis
hello im looking for a phone charger that is compatible with the samsung galaxy s23 ultra that has a very long cord and is black,product_search
why do i have to pay for shipping when my friend got free shipping for the same item?? that's super unfair. u guys are the worst. what is ur general shipping rule?,faq
Why is this freakin' toaster oven so much more expensive than last week? Ripoff!,pricing
Got any more blue size 9 sneakers?,product_availability
"Could you please check on the status of my order, #12345? Thank you so much!",order_status
what's the deal with gettin my muny bak if i dont like the shirt,refund_policy
"I read the terms and conditions but I'm still confused about the warranty for electronics, specifically is the screen covered if I drop it within the first 30 days or is that totally on me?",policy_info
Do you guys sell pet llamas? My neighbor said you do but I think he's pullin my leg lol,off_topic
"Yo, lemme see those cool new gaming headsets with RGB, the ones everyone's hyped about.",product_search
"I need return my package but I lost the label, how I can do this?",return_policy
"how long does shipping usually take to canada, is it fast or slow shipping",faq
What's the trendiest stuff for winter coats right now?,trend_analysis
Wheres my dang package? Its been 5 dayssss!! Gimme tracking number now!!!,order_status
"yo, how much is the blak t-shurt... the one wit the cat on it? it's like product id 789",pricing
Can I return this dress if I just wore it once to a party? Asking for a fren.,return_policy
U guys gota refund policy for digital downloads? Is it 30 days or wat?,refund_policy
"i need to find a new pair of waterproof hiking boots for men, size 10, prefably leather and under $150",product_search
"Hey! Just wanted to say hello, have a great day!",greeting
"You absolute buffoons, why is my credit card declined? Fix this IMMEDIATELY or I will sue for emotional distress, this is an OUTRAGE!",other
is the green sweater in stock or not?? website says low stock but i need 3 of them for my whole squad,product_availability
how do u know what products will be popular next quarter? i wanna sell that stuff too,trend_analysis
What is the capital of Assyria? I bet your bot doesnt know that. Ha. Ha. Ha.,off_topic
Wheres my stuff it said 2 days its been 5 this is bullsht.,order_status
sneakers red size 10,product_search
Could you please tell me if there's a discount code for first-time buyers?,pricing
is the blue shirt in size L back in stock soon? need it for a weading.,product_availability
i wanna buy a flying carpet and pay with three squirrels and a piece of string,off_topic
I bought dis thing last week but I no want it no more. Can return it?,return_policy
how long for refunds?,refund_policy
"Yo, what's the deal with y'all's privacy policy? Like, the TLDR version?",policy_info
Do you guys ever stock rare 90s Casio models? I'm looking for the DW-5600c specifically.,product_sourcing
"What are the hot selling items this month, is it all about sustainable clothing now?",trend_analysis
Can I haz that blue t-shirt in L plez?,product_search
WTF is my order #12345?! It says delivered but ain't here you useless knobs!,order_status
"Hi, jus wondering if you guys stock those super cute pink fuzzy slippers I saw on Insta last week? Thanks!",product_sourcing
The price for the new drone is too high. Are there any discounts or is that the final price?,pricing
"What's the deal with returns? Like if I bought it, then changed my mind a week later, can I send it back and get my cash?",return_policy
"You need to fix your website search, it keeps saying 'null' when I type in 'water bottle'.",other
"Hello, how do I reset my password? I forgot it lol.",faq
Is the black velvet dress in a size 10 going to be back in stock this month or not?,product_availability
My cat's breath smells like cat food. Do you sell artisanal cat toothpaste?,off_topic
What's the company's official policy on getting my money back if the item is defected?,refund_policy
Is this laptop still in stock or wat? I need it by friday no cap.,product_availability
"yooo wuts up, can i plz get a price match on the 'super cool drone v2' i saw it cheaper on that other site 'buycheapdrones.com' thx.",pricing
where my package at bro?? tracking says 'in transit' since last week!! im finna lose it.,order_status
"i bought this shirt and it doesn't fit, what is the policy for sending it back? do i have to pay for shipping for a return?",return_policy
The refund for item #93847 still hasn't hit my account. It's been like 12 business days! Are you guys scamming me or what is the deal with your slow-ass system?! Fix it now!,refund_policy
hey! quick q: what is the company's general policy on data privacy? is all my info safe like really safe?,policy_info
what is the best selling item for 'home decor' this season? i need inspo for my shop.,trend_analysis
"greetings, where does the silk pillowcase material come from? is it ethically sourced or what's the deal with that?",product_sourcing
"i cannot find the dang purple spatula with the polka dots anywhere on the site, do you even sell it??",product_search
i heard you guys sell pet rocks? is that true? and if so do they come with leashes or is that extra? this is important.,off_topic
WHERE IS MY DAMN PACKAGE IT WAS SUPPOSED TO BE HERE YESTERDAY I AM SO PISSED OFF give me an answer now,order_status
do you guys have like any sales on those new nikes or what's the deal with the price,pricing
hey whats ur refund policy if i open the box but dont use the item just check it,refund_policy
hi is the red sweater in stock i need size medium thanks a bunch,product_availability
can i plz return this dress i wore to a wedding last week is that allowed? its been 10 days,return_policy
where can i find that cool shirt with the cat on a skateboard that was trending last month,product_search
"Hello, I am looking for information on becoming a supplier of custom-made wooden toys. What is the process?",product_sourcing
what is the diff between the premium shipping and the standard one? like what is the actual rules,policy_info
what color socks are gonna be popular this winter tell me what's hot,trend_analysis
"My dog ate my homework and now the sky is falling. Also, why is the sun yellow?",off_topic
Wheres my stuff it was supposed to be here yesterday tracking SUCKS,order_status
Is there a disscount for byuing 5 of the same shirt???,pricing
"Hello, could you please let me know when the blue size 9 sneakers will be back in stock? Thank you.",product_availability
red dress party,product_search
"I want return the item i bought last week, how many day i have to do this thing",return_policy
I demand a full refund NOW! That item broke the first day and your guarantee is trash!,refund_policy
hey whats up,greeting
"Yo, can yall like, get those new Nike Air Max 97s in silver? They're straight fire everywhere else.",product_sourcing
"Hey, I saw something about a 'premium membership' and I'm trying to figure out what the benefits are. Can you link me to the full details or just explain the free shipping part?",policy_info
Do you guys sell actual donkeys or just socks? need a donkey for my birthday party lulz,off_topic
"Yo, when is the size M in the blue hoodie gonna be back in stock, need it ASAP.",product_availability
where is my stuff? its been 5 dayssss order #98765,order_status
what is ur return polisy for eletronic items is it like 30 days or what i broke the screen can i still send it back,return_policy
hello i am very interested in the diamond necklace i saw but is there any way i can get a small discount maybe 10 percent off thank you,pricing
This is ridiculous! Your website is a joke and the shoes I got smell like old cheese! I DEMAND a full refund immediately or I'm calling my bank!,refund_policy
Do you sell those weird glow-in-the-dark unicorn slippers that were super popular last month? Can't find them anywhere.,product_search
"Wut is the capital of Alaska? Just curious, also where can i read about shipping costs? thanks much!",off_topic
how to become a seller on your platform for custom printed t-shirts what is the process like,product_sourcing
"whats the deal with that new trend, like the oversized belts everyone is wearing? think i shud stock up?",trend_analysis
"i need to know what payment methods u accept, can i use bitcoin or just visa is fine",faq
Yo where my stuff at I ordered it like 5 days ago and it still says processing this is BS!!,order_status
can u like tell me if the blue fuzzy slippers for adults will be back in stock soon cuz i really need them for my mom thx,product_availability
What is the policy for returns on electronics I bought a broken toaster and need to know the deal.,return_policy
"Hi, I hope you're having a good day. Could you please clarify your refund process after a return is accepted?",refund_policy
r u selling any of those tiktok viral things like the star projector that everyone wants? what's the cheapest price u got,product_search
WHY DID YOU CHARGE ME $50 FOR SHIPPING THAT'S A SCAM I'M CALLING MY BANK,pricing
what is ur privacy thingy? like u keep my credit card number or what? it's an important question.,policy_info
where do you get all your cool tshirts from? can you get me a custom one with my dog's face? asking for a friend lol,product_sourcing
Hello what are your hours of operation and can i use a coupon on clearance items? its not clear on the site.,faq
My cat just coughed up a hairball on my keyboard. How do you guys predict next year's popular color for sweaters?,off_topic
"Is that like, the final price or can I get a student discount or smth?",pricing
When will the size medium blue hoodie be back in stock?? It's been outta stock for weeks ugh.,product_availability
whr my order AT?? its supposed to be heer tday!  #890321,order_status
"Hey, what's the deal with your refund policy? Like, how long do I have to ask for my money back if I don't like the shoes?",refund_policy
"I need to return this crap but I lost the receipt. Can I still do it, or is that a no-go zone? The zipper is broke after one day.",return_policy
Where do I find the part about warranty claims for electronics on your site? Thx,policy_info
Do you guys have like a help page or an FAQ for how to use the loyalty points?,faq
"Lookin for a black minimalist wallet, leather preferred. Show me some options under fifty bucks.",product_search
"I saw this cool new type of solar charger on TikTok, are you planning on selling that brand anytime soon??",product_sourcing
What are people buyin a lot of this week? What's hot for home decor in the fall?,trend_analysis
"Hey, is that new gaming mouse in stock yet? The 'AeroGlide 5000' thingy.",product_availability
y u take my money but my stuff not heer???? WHERES MY PARCEL #123456,order_status
"Yo, can i trade this like, shirt i got last week for a bigger size?  it's unworn with the tags still on it n i don't have the receipt anymore srry",return_policy
what is ur return polocy? is it 30 dayz or like 90? and do i pay shipping back to u??,return_policy
"Seriously, the price on the 'Luxuria' silk pajamas jumped up 20 bucks overnight! What's the deal, man? That's some shady business.",pricing
"Im looking for a reliable source for sustainable, ethically produced bamboo kitchenware. Do you guys carry anything like that or know where I could find a good supplier?",product_sourcing
hello im doing a school project on like the hottest selling items in fashion for 2024 what are your top 5 biggest trend rn?,trend_analysis
"What are your hours of operation?  Also, if I buy something, can I just like, send it back and get all my money back no questions asked if I don't open it for 3 years? thanks",faq
i need to talk to a person about getting a refund for order #998877. This item is defective and I want my full money back NOW!!!,refund_policy
can u like tell me what the big difference is between that vacuum cleaner and the other one? im rlly confused between model X and model Y. which one is better for pet hair??,product_search
whats the price for the red running shoe size 10? it says sold out but can i get one pls?,pricing
"My package said delivered yesterday but i never saw it. Where is my stuff, you stole it! gimme my money back now!",order_status
hey! just wanted to say hi and check if you got any new cool graphic tees in stock yet? like with cats or aliens or somethin'.,greeting
u guys do free returns?  i bout this shirt but it look like a garbage bag and i wanna send it back right away.,return_policy
"Is this like, a good investment? Should I buy socks now or wait till next season? What's the sock market doing?",trend_analysis
i need help finding a dress for my cousin's wedding. i dunno what style but it gotta be blue and for a fat lady. thanks.,product_search
"Can you check if my order #12345 is like, in the mail truck or still sitting in the warehouse?  Please and thank you!",order_status
"why do i have to pay for shipping when the item cost like, 500$? that's just rude.  is there a policy for free shipping on big orders?",policy_info
i need to know where you get your artisanal yak cheese from. is it organic?  i'm not buying anything until i know the source.,product_sourcing
what is the maximum weight capacity of the small bookshelf?  i plan to put my collection of rocks on it. is that a question you can answer or is it too hard?,faq
"Hey I need to know if the new Airpods are on sale for Black Friday yet and like, when can I get 'em?",pricing
"Wher is my freakin package, the tracking says 'delivered' but there aint nothin here! FIX IT NOW!!!",order_status
"I wanna send back this hoodie but I lost the receipt. What's the deal with your returns policy like, how many days I got?",return_policy
Do you guys have any info on that weird purple llama plushie that went viral on TikTok last week? Need to stock up for my store.,product_sourcing
"Hello, I hope you are having a pleasant day! I was wondering if you could direct me to the section for waterproof camping tents, size 4-person, please?",product_search
Like what's the general rules for using your loyalty points? Is there a minimum spend or can I use them on anything at all?,policy_info
"Sup. Why is my refund for order #99834 taking forever? It's been like a gazillion years. Is it automatic or do I need to like, send a carrier pigeon or sumthin?",refund_policy
Is that limited edition sparkly pink waffle iron still in stock or did all the cool kids buy them already?? Hurry up and tell me!!,product_availability
"Just wondering, what's been the hottest selling item in electronics for the past three months? Looking to see what's trending.",trend_analysis
"Hi, what's the deal with all this talk about global warming and do you sell magical talking turnips to fix it? Lol. Just sayin' tho.",off_topic
Hey there! Quick question about my order.,greeting
wen will the blak shoes b instock again??,product_availability
WHERE IS MY DAMN PACKAGE. SHIPMENT WAS SUPPOSED TO BE YESTERDAY. I WANT ANSWERS NOW! ORDER 3455R,order_status
"Good morning, I was comparing prices and noticed a large difference between this product and similar items on other sites. Is there any possibility of a price match or an upcoming sale? Thank you for your time.",pricing
Can I return this t-shirt if I took the tag off but never wore it?,return_policy
"I need a thing that is red and makes a whoosh noise, but only on Tuesdays after 4pm. Do you sell that?",product_search
what r ur shipping times for international orders?,faq
The item is broken. I want a full refund immediately. What is the process for a damaged goods refund?,refund_policy
My cat just ate a sock. Is that covered by your warranty?,off_topic
"Yo, I'm trying to find a bulk supplier for artisanal candles. Like, the super trendy ones with the wood wicks. Are you guys able to source that kinda thing for wholesale?",product_sourcing
Yo where's my package its been like 5 days wtf is going on I need it NOW,order_status
can i get a discount code or something plss that dress is too pricey for me rn,pricing
Is the blue t-shirt with the cat print available in size large? Your website is confusin me.,product_availability
How do I return this ugly hat I bought and get my money back?? The color is awful and it smells funny. What's the policy on that?,return_policy
"hello, I am looking for the best-selling running shoes for women this season. could you please tell me which ones are trending right now?",trend_analysis
hi! do you guys ship to Antartica and what if the penguin eat my shoes and I want to return them? is that covered??,off_topic
need to find a charger for a model xyz phone. Do you stock compatible ones or where can I find?,product_search
"My friend said you source organic cotton blankets. Is that true, and are they sustainably made?",product_sourcing
I lost my receipt. Can I still get a refund for a damaged item?  Please inform me of the process.,refund_policy
I saw something about loyalty points but like how do i even use them where's the info for that,policy_info
WHERE IS MY STUFF I PAID FOR IT 3 WEEKS AGO!!!! tracking is stalled at 'pending delivery' since Tuesday. Fix this now.,order_status
u got any more of them black t-shirts size L? need 3 more before the concert next week.,product_availability
"Hello, could you please clarify the window for a full refund on electronics, specifically a smart watch? Thank you so much.",refund_policy
"If a squirrel steals a pizza, does it still have to pay taxes? I need to know before I buy the blender.",off_topic
purple sparkly phone case samsung S23 ultra. cheap shipping needed,product_search
The price is wrong it says fifty five dollar in cart but sixty five on the product page fix this now its false advertisement.,pricing
"I'm trying to find out what counts as 'original packaging' for a return, specifically for a pair of running shoes. Is the box mandatory or just the tags?",return_policy
Yo what up I'm trying to check out but I can't apply the coupon code I found.,greeting
Do you guys plan to stock the new limited edition 'Nova' gaming mouse from CyberTech? It launches next month and I want it pre-ordered.,product_sourcing
Is there a warranty on refurbished items or is that only for new products? Looking at a vacuum cleaner.,faq
"Where is my freakin package, ordered it last week!!! I need an update NOW!!",order_status
"Hey, can u tell me if that blue dress in size M is in stock? Tnx.",product_availability
"I saw this really cool drone on TikTok, do you guys sell the 'AeroFlyer Pro' or somethin similar? Tryna find a good deal.",product_sourcing
What's the deal with your return policy? Do I gotta pay for shipping if it doesn't fit?,return_policy
"Ur prices are like, insane. Why is this widget so much more than on Amazon? Seriously.",pricing
Lmaooo my cat says your website design is bad. She wants a free toy. lol,off_topic
"Hallo, can I pls get a copy of the warranty for the 'Mega-Blender 9000'? Very appreciate.",policy_info
Jus wonderin' if y'all think gaming chairs or standin' desks gonna be the big seller this holiday season. Need to stock up.,trend_analysis
The refund policy says 30 days but my friend said 60. Which one right? Very confused.,faq
"Sup, I need the serial number for the headphones I bought in March but I lost the box. Pls help.",other
"Where is my freakin package, tracking sez delivered but NOT! U owe me!",order_status
"Hi there, can you tell me if the blue wireless earbuds are still in stock? Thx!",product_availability
"Is there like, a big difference in price between the Pro and the regular version? Need to kno.",pricing
What's the deal with returns? I bought this thing last month but it's not even open yet. Can I send it back?,return_policy
"Yo, how do I find that really cool neon green gaming chair I saw in an ad like 2 days ago??",product_search
"Just saying hello, how are you? You guys are the best!",greeting
I need to know your policy on damaged goods refunds right now. This is unacceptable.,refund_policy
What are the hotest selling t-shirt colors for spring? Asking for a fren. Lol.,trend_analysis
Can u pls explane wut's the warranty? Is it 1 year or 2?,policy_info
"I heard u guys sell those limited edition sneakers, can you source one in size 12? I pay extra.",product_sourcing
WHERES MY STUFF I PAID FOR IT DAYS AGO!!!!,order_status
Could you please clarify the process for getting a full refund if the item arrives damaged? Thank you very much for your help!,refund_policy
lookin for dem new air jordans size 10,product_search
do u guys sell pet rocks that can sing opera?? need to know for my dog's birthday. this is an emergency.,off_topic
how much cost that red shirt on sale now me want to buy it.,pricing
hi,greeting
Is the PS5 ever gonna be in stock again??? This is ridiculous and I'm super mad!,product_availability
"I need to know what your privacy policy says about sharing my credit card info with third parties. Can I see the full document, please?",policy_info
common questions about shipping,faq
"Yo, where'd you guys get those sick vintage tees? Wanna know the supply chain details for those",product_sourcing
"Yo, how much is the red sneakers? The ones on the homepage",pricing
Where is my freakin package?! Tracking number is 123456789. It was supposed to be here YESTERDAY!!,order_status
"do u guys have like, any more of those blue t-shirts in XL? Site says out of stock but check pls",product_availability
What is ur policy on refunds for damaged goods? i got a broken mug.,refund_policy
"Hello, I want to return this dress. I didn't like the color. How do I start the return?",return_policy
Can I haz the big purple plushie that looks like a cat but is actually a blob fish? I saw it last week but can't find now.,product_search
just wondering what time your customer service is open until today?,policy_info
hi thx for the help. how do i reset my password or what if i forgot my login???,faq
Hey what's trending in men's summer shorts right now? Plz advise on best sellers.,trend_analysis
"Can you ship me like, 5000 units of that custom widget? I need a quote for a bulk order.",product_sourcing
Is that a joke the price on the blue widget went up $5 overnight! Fix it now or im taking my biz elsewhere!!,pricing
Where is my order??? Tracking says it was delivered yesterday but nothing showed up. Wtf is going on?,order_status
Can I get my money back if I return this shirt? It's too small and I wore it for like 5 mins,refund_policy
hey u got any like... big fluffy unicorn slippers in stock? maybe purple or rainbow?,product_search
"What's the deal with your returns, I bought this last month but haven't opened it yet. Can I still send it back?",return_policy
"OMG hi how r u? So like i saw this cool tiktok about those ear buds you sell, when will they be available again? Need them ASAP!",product_availability
"just checking, is the privacy policy like, the main one for all countries or do you have a specific one for EU ppl? idk",policy_info
my package got shipped to the wrong house in a different state. what is your policy on getting me my stuff back or a full refund for this massive screw up?? this is unaceptable,order_status
i need to find out about sourcing ethical glitter. are yall sourcing from sustainable mines for the cosmetic products? thanks!,product_sourcing
how do i change my delivery address pls? i can't find the option in my account setting. so annoying i need the faq or something,faq
"Where the heck is my package?? Tracking hasn't moved in 3 days, this is BS! Order #XYZ123",order_status
"Hello, could you let me know if the price on the 'Galaxy 7 Pro' is going to drop anytime soon? I'm waiting for a sale. Thank you.",pricing
red sneakers size 9 men's under 50,product_search
is the blue shirt i wanted bak in stock yet plz,product_availability
"my dog ate the instructions to my new toaster oven, is the sky made of cheese?",off_topic
Hey! What's the typical delivery time for standard shipping to California?,faq
"I need return this thing, is possible after 30 days is finish?",return_policy
I'm trying to figure out the difference between the standard warranty and the extended one. Can you point me to a page or summarize the key points on accidental damage coverage? I'm a bit confused.,policy_info
"Do you guys sell spare parts for the 'AquaClean Pro' vacuum? Specifically the filter, I can't find it on your site.",product_sourcing
What were the top 5 selling items last week in the home goods category?,trend_analysis
where is my F&%KIN package. it was supposed to be here yesterday!!! give me tracking number NOW,order_status
"Hey there! 👋 Just wondering if that blue dress, the one with the lace trim, will be back in stock soon? Thanks a bunch!",product_availability
"I wanna know if you guys can get me like a custom-made electric guitar, kinda like Jimi Hendrix played but purple. Is that possible or what?",product_sourcing
How much for the red sneakers size 10? Are there any discounts if I buy two pairs?,pricing
My friend said y'all sell 'wumbo sauce' but I can't find it. What the heck is 'wumbo sauce' and why isn't it showing up when I search for 'hot sauce'?,product_search
"yo, wat is ur deal wit returns. like, i can return a used t shirt or what? u have 30 days right?",return_policy
Can I pls get a copy of your full data privacy policy? I need to review your user data handling procedures for compliance purposes. Thanks for your help!,policy_info
whats the big trends in summer hats this year? i need to look fly for the beach trip,trend_analysis
"This website is a steaming pile of donkey doo-doo, I can't even find the contact number for a refund. Fix your life. I want my money back for the garbage you sent me.",refund_policy
"hello i need help with my account, can you reset my password please?",faq
Wheres my stuff it said delivered 2 days ago this is a joke!!! I need an update NOW.,order_status
"Hello, could you please help me find a nice pair of noise-cancelling headphones under $100?",product_search
when will the ps5 be back in stock i need it asap,product_availability
is they a disscount code i can use for the tv price is 2 hi,pricing
do you guys sell tacos or just like computer cables i need both for my party next week,off_topic
I need return my shirt how much time i got before the deadline for clothes returns,return_policy
I'm trying to figure out if I can get my money back for a digital download that didn't work. What's the exact policy on non-tangible goods refunds? Is it 7 days or 30 days?,refund_policy
Sup yo. Just browsing. Lemme know if there's any hot deals today,greeting
What are your business hours for customer service and live chat?,faq
I saw a TikTok about those new sustainable bamboo spatulas. Are you planning to carry them soon? They're gonna be huge.,product_sourcing
"Hey, is that green shirt like, really in stock or is ur website lying to me again. Need it by Friday!!!",product_availability
My package says delivered but i didnt get it. Where the heck is my stuff?? Order #435534,order_status
what is ur return policy for electronics if the box is opened but the item is like new. can i still get a full refund?,return_policy
u guys overcharge so much for shipping. is there any way to get a discount or free shipping on orders over 50 bucks?,pricing
"im looking for a dress for a wedding, like a long, flowy, dark blue one. do u have any suggestions for me to check out?",product_search
WEN WILL U GET MOR OF THAT STAR WARS LEGO SET??!?!?? I WANT IT I NEED IT SELL IT TO ME NOW,product_sourcing
lol my cat just walked across my keyboard and now i can't find the page. what is the refund policy again??,refund_policy
hello! I was wondering if you could point me to your frequently asked questions about account security. thanks a bunch!,faq
why is your website telling me '404 error' when i try to log in?  i pay your bills! fix this garbage now or im canceling my acct,other
what's the current hot trend in men's sneaker fashion?  i wanna stay fly for the summer,trend_analysis
wherz the blue shirt with the dog on it,product_search
Where my stuff is??? Said delivery two day ago I want answer now! Order #100876,order_status
Could you please clarify the process for initiating a full refund if I paid with a gift card and a credit card? Thanks!,refund_policy
Does this website sell little tiny hats for squirrels? Asking for a friend who is also a squirrel and needs accessorizing.,off_topic
"Yo, wats the best price u got on them airpods pro 2? like, any student discount or sumthin?",pricing
Got any more of the Model X gaming chair in stock??? Need 3 for my setup ASAP.,product_availability
"I bought this jacket last week but it's too small. The tags are still on. Can I return it for a different size, or do I just get store credit? It's been 8 days.",return_policy
"Hey there, how are you today? Hope you're having a great shift!",greeting
I need a quote for 500 units of SKU: L92-B. Can you source that quantity by end of Q4 and provide bulk pricing?,product_sourcing
"What are your standard shipping rates for international orders to Canada? Like, the ground shipping one, not express.",faq
Wherz my stuff its been 5 dayssss and the tracking sez 'pending' are u jokinnnn me rn?? Im so mad!,order_status
"Hey, can you pls tell me if you have the Nike Air Max in size 10, blue color, back in stock soon? Thx!",product_availability
wat is the deal with the price for the new xbox like why is it 100 bucks more than other sites?? its a rip off,pricing
So I bought this lamp and I hate it. What's the policy if I want to send it back? Do I pay for shipping?,return_policy
lmao is this site real or is it like a joke? i saw a shirt that costs one billion dollars that cant be right,off_topic
Just received the wrong item. How do I start a refund process? Need the money back ASAP.,refund_policy
"Sup, do you know if anyone else is selling the limited edition Funko Pop 'Dark Vader'? Like, where can I get one if u dont have it?",product_sourcing
pleas tell me how many days does it take to ship a large television to California and do you offer installation service?,faq
